time,open,high,low,close,Volume,Volume MA,Aroon Up,Aroon Down,Plot,Plot
1588280160,289.7,289.71,289.38,289.45,1900,3906,0,35.714285714285715,-4.421135714285539,0
1588280220,289.38,289.44,288.74,289.07,1400,3687.6,0,28.571428571428573,-3.67034642857125,0
1588280280,289.44,289.46,289.44,289.46,200,3345.45,0,21.428571428571427,-2.9598821428569693,0
1588280340,289.33,289.33,288.54,288.54,1300,3338.3,50,14.285714285714286,-2.557824999999811,0
1588280400,288.32,288.32,287.46,287.61,600,3170,42.857142857142854,100,-2.226296428571224,0
1588280460,288.2,288.2,288.2,288.2,200,2760.85,35.714285714285715,92.85714285714286,-1.691221428571227,0
1588280520,288.24,288.24,288.12,288.12,300,2617.9,28.571428571428573,85.71428571428571,-1.196999999999794,0
1588280580,288.96,289,288.96,289,200,2157.9,21.428571428571427,78.57142857142857,-0.6617642857140709,0
1588280640,289.59,289.59,289.57,289.58,300,2017.3,14.285714285714286,71.42857142857143,-0.18417499999978748,0
1588280700,289.2,289.2,289.2,289.2,200,1370.1,7.142857142857143,64.28571428571429,0.17731428571449914,0
1588280820,288.29,288.4,288.29,288.4,200,1252.7,0,57.142857142857146,0.35385357142879137,0
1588280880,288.2,288.2,288.2,288.2,100,1112.35,0,50,0.3013250000002152,0
1588280940,288.2,288.2,288.19,288.19,200,1004.85,7.142857142857143,42.857142857142854,0.19681785714307942,0
1588281000,288.4,289.42,288.4,289.42,1200,1032.15,0,35.714285714285715,0.3090392857145181,0
1588281120,289,289.05,288.87,288.87,700,1024.65,0,28.571428571428573,0.27554642857166645,0
1588281180,288.5,288.5,288.49,288.49,300,1004.65,50,21.428571428571427,0.08600357142881254,0
1588281240,288.58,288.6,288.58,288.6,300,662.25,42.857142857142854,14.285714285714286,0.1383535714288162,0
1588281360,288.49,289.15,288.49,289.15,800,675.05,35.714285714285715,7.142857142857143,0.27941071428596453,0
1588281420,289.48,289.68,289.45,289.51,500,673.3,100,0,0.40218928571453283,0
1588281480,289.24,289.24,288.89,288.89,500,570,92.85714285714286,7.142857142857143,0.5183928571431045,0
1588281600,289.59,290.17,289.56,290.01,700,510,100,0,0.7232642857145313,0
1588281660,290.9,291,290.07,290.25,1900,535,100,35.714285714285715,0.8869714285716594,0
1588281780,289.33,289.33,289.33,289.33,200,535,92.85714285714286,28.571428571428573,0.9357892857144998,0
1588281840,289.9,289.93,289.9,289.93,300,485,85.71428571428571,21.428571428571427,1.0008964285716373,0
1588281960,289.44,289.44,289.19,289.19,200,465,78.57142857142857,14.285714285714286,0.7772357142859165,0
1588282020,288.37,288.37,288.37,288.37,100,460,71.42857142857143,7.142857142857143,0.44319642857162844,0
1588282080,288.72,288.72,288.72,288.72,100,450,64.28571428571429,0,0.20660357142877095,0
1588282260,289.5,289.75,289.5,289.75,400,460,57.142857142857146,85.71428571428571,0.26629285714305173,0
1588282560,289.11,289.11,289.11,289.11,100,450,50,78.57142857142857,0.2636071428573343,0
1588282620,288.38,288.38,288.38,288.38,311,455.55,42.857142857142854,71.42857142857143,0.10109285714303429,0
1588282920,287.4,287.45,287.4,287.45,200,455.55,35.714285714285715,100,-0.25581071428554925,0
1588282980,287,287,287,287,100,455.55,28.571428571428573,100,-0.6790499999998483,0
1588283040,287.5,287.5,287.49,287.5,1951,543.1,21.428571428571427,92.85714285714286,-0.9921714285712859,0
1588283100,287.5,287.5,287.5,287.5,668,516.5,14.285714285714286,85.71428571428571,-1.1675571428570064,0
